company_key,ticker,company_name,matched_name,match_type
SUWENTEKSTIL,SUWEN,Suwen Tekstil,Suwen Tekstil Sanayi Pazarlama A.S.,prefix
SOKEDEGIRMENCILIKSANAYI,SOKE,Söke Değirmencilik Sanayi,Söke Degirmencilik Sanayi ve Ticaret A.S.,prefix
SONMEZFILAMENT,SONME,Sönmez Filament,Sönmez Filament Sentetik Iplik ve Elyaf Sanayi A.S.,prefix
SONMEZPAMUKLUSANAS,SNPAM,Sönmez Pamuklu San. A.Ş.,Sönmez Pamuklu Sanayii A.S.,fuzzy_0.900
TAVHAVALIMANLARI,TAVHL,TAV Havalimanları,TAV Havalimanlari Holding A.S.,prefix
TGS,TGSAS,TGS,TGS Dis Ticaret Anonim Sirketi,prefix
TSKBGAYRIMENKULYATIRIMORTAKLIGI,TSGYO,TSKB GYO,TSKB Gayrimenkul Yatirim Ortakligi A.S,prefix
TABGIDA,TABGD,Tab Gıda,Tab Gida Sanayi ve Ticaret A.S.,prefix
TAPDIOKSIJENOZELSAGLIKVEEGITIMHIZ,TNZTP,Tapdi Oksijen Özel Sağlık ve Eğitim Hiz.,Tapdi Oksijen Özel Saglik ve Egitim Hizmetleri Sanayi Ticaret A.S.,prefix
TARKIMBITKIKORUMA,TARKM,Tarkim Bitki Koruma,Tarkim Bitki Koruma Sanayi ve Ticaret A.S.,prefix
TATGIDA,TATGD,Tat Gıda,Tat Gida Sanayi A.S.,prefix
TATLIPINARENERJI,TATEN,Tatlıpınar Enerji,Tatlipinar Enerji Uretim A.S.,prefix
TEKARTINSAAT,TEKTU,Tek-Art İnşaat,Tek-Art Insaat Ticaret Turizm Sanayi ve Yatirimlar Anonim Sirketi,prefix
TEKFENHOLDING,TKFEN,Tekfen Holding,Tekfen Holding Anonim Sirketi,prefix
TEKNOSA,TKNSA,Teknosa,Teknosa Iç ve Dis Ticaret Anonim Sirketi,prefix
TEMAPOL,TMPOL,Temapol,Temapol Polimer Plastik ve Insaat Sanayi Ticaret Anonim Sirketi,prefix
TERAFINANSALYATIRIMLARHOLDINGAS,TRHOL,Tera Finansal Yatirimlar Holding AS,Tera Finansal Yatirimlar Holding A.S.,exact_key
TERAPORTFOYYONETIMIAS,SMRVA,Tera Portfoy Yonetimi AS,Sumer Varlik Yonetim A.S.,fuzzy_0.634
TERAYATIRIMMENKULDEGERLER,TERA,Tera Yatırım Menkul Değerler,Tera Yatirim Menkul Degerler A.S.,prefix
TOFAS,TOASO,Tofaş,Tofas Türk Otomobil Fabrikasi Anonim Sirketi,prefix
TORUNLARGAYRIMENKULYATIRIMORTAKLIGI,TRGYO,Torunlar GYO,Torunlar Gayrimenkul Yatirim Ortakligi A.S.,prefix
TRABZONLIMANISLETMECILIGI,TLMAN,Trabzon Liman İşletmeciliği,Trabzon Liman Isletmeciligi Anonim Sirketi,prefix
TRABZONSPORSPORTIF,TSPOR,Trabzonspor Sportif,Trabzonspor Sportif Yatirim ve Futbol Isletmeciligi Ticaret A.S.,prefix
TRENDGAYRIMENKULYATORT,TDGYO,Trend Gayrımenkul Yat. Ort.,Trend Gayrimenkul Yatirim Ortakligi A.S.,fuzzy_0.833
TUKASGIDA,TUKAS,Tukaş Gıda,Tukas Gida Sanayi ve Ticaret A.S.,prefix
TURCASPETROLAS,TRCAS,Turcas Petrol A.Ş.,Turcas Holding A.S.,fuzzy_0.690
TUREKSTURIZM,TUREX,Tureks Turizm,Tureks Turizm Tasimacilik Anonim Sirketi,prefix
TUREKSTURUNCMADENCILIK,MARBL,Tureks Turunç Madencilik,Tureks Turunc Madencilik Ic ve Dis Ticaret A.S.,prefix
TURKALTINISLETMELERIAS,TRALT,Turk Altin Isletmeleri AS,Turk Altin Isletmeleri A.S.,exact_key
TURKCELLILETISIMHIZMETLERI,TCELL,Turkcell İletişim Hizmetleri,Turkcell Iletisim Hizmetleri A.S.,prefix
TUGCELIK,TUCLK,Tuğçelik,Tugçelik Alüminyum Ve Metal Mamulleri Sanayi Ve Ticaret A.S.,prefix
TUMOSANMOTOR,TMSN,Tümosan Motor,Tümosan Motor ve Traktör Sanayi A.S.,prefix
TURKPRYSMIAN,PRKAB,Türk Prysmian,Türk Prysmian Kablo ve Sistemleri Anonim Sirketi,prefix
TURKTELEKOMUNIKASYON,TTKOM,Türk Telekomunikasyon,Türk Telekomünikasyon Anonim Sirketi,prefix
TURKTRAKTOR,TTRAK,Türk Traktör,Türk Traktör ve Ziraat Makineleri A.S.,prefix
TURKTUBORG,TBORG,Türk Tuborg,Türk Tuborg Bira ve Malt Sanayii A.S.,prefix
TURKILAC,TRILC,Türk İlaç,Turk Ilac Ve Serum Sanayi Anonim Sirketi,prefix
TURKERPROJEGAYRIMENKUL,TURGG,Türker Proje Gayrimenkul,Türker Proje Gayrimenkul ve Yatirim Gelistirme A.S.,prefix
TURKIYEHALKBANKASI,HALKB,Türkiye Halk Bankası,Türkiye Halk Bankasi A.S.,prefix
TURKIYEKALKINMAVEYATIRIM,KLNMA,Türkiye Kalkınma ve Yatırım,Türkiye Kalkinma ve Yatirim Bankasi A.S.,prefix
TURKIYESIGORTA,TURSG,Türkiye Sigorta,Türkiye Sigorta A.S.,prefix
TURKIYEISBANKASI,ISBTR,Türkiye İş Bankası,Türkiye Is Bankasi A.S.,fuzzy_1.000
TURKIYEISBANKASIA,ISBTR,Türkiye İş Bankası A,Türkiye Is Bankasi A.S.,fuzzy_1.000
TURKIYEISBANKASIB,ISBTR,Türkiye İş Bankası B,Türkiye Is Bankasi A.S.,fuzzy_0.947
UFUKYATIRIM,UFUK,Ufuk Yatırım,UFUK Yatirim Yonetim ve Gayrimenkul A.S.,prefix
ULUSALFAKTORING,ULUFA,Ulusal Faktoring,Ulusal Faktoring A.S.,prefix
ULUSOYELEKTRIK,ULUSE,Ulusoy Elektrik,Ulusoy Elektrik Imalat Taahhüt ve Ticaret A.S.,prefix
ULUSOYUN,ULUUN,Ulusoy Un,Ulusoy Un Sanayi ve Ticaret A.S.,prefix
USAKSERAMIKSANAS,USAK,Uşak Seramik San. A.Ş.,Usak Seramik Sanayi A.S.,fuzzy_0.914
VBTYAZILIM,VBTYZ,VBT Yazılım,VBT Yazilim Anonim Sirketi,prefix
VAKKO,VAKKO,Vakko,Vakko Tekstil ve Hazir Giyim Sanayi Isletmeleri A.S.,prefix
VAKIFGAYRIMENKULYATIRIMORTAKLIGI,VKGYO,Vakıf GYO,Vakif Gayrimenkul Yatirim Ortakligi AS,prefix
VAKIFLEASING,VAKFA,Vakıf Leasing,Vakif Faktoring A.S.,fuzzy_0.714
VAKIFMENKUL,VKFYO,Vakıf Menkul,Vakif Menkul Kiymet Yatirim Ortakligi A.S.,prefix
VAKIFBANK,AKBNK,Vakıfbank,Akbank T.A.S.,fuzzy_0.706
VANET,VANGD,Vanet,Vanet Gida Sanayi Iç Ve Dis Ticaret Anonim Sirketi,prefix
VERAKONSEPTGAYRIMENKUL,VRGYO,Vera Konsept Gayrimenkul,Vera Konsept Gayrimenkul Yatirim Ortakligi Anonim Sirketi,prefix
VERUSAHOLDING,VERUS,Verusa Holding,Verusa Holding A.S.,prefix
VERUSATURK,VERTU,Verusaturk,Verusaturk Girisim Sermayesi Yatirim Ortakligi A.S.,prefix
VESTELBEYAZ,VESBE,Vestel Beyaz,Vestel Beyaz Esya Sanayi ve Ticaret A.S.,prefix
VESTELELEKTRONIK,VESTL,Vestel Elektronik,Vestel Elektronik Sanayi ve Ticaret Anonim Sirketi,prefix
VIKINGKAGITVESELULOZ,VKING,Viking Kağıt ve Selülöz,Viking Kagit ve Selüloz A.S.,prefix
YEOTEKNOLOJIENERJI,YEOTK,YEO Teknoloji Enerji,Yeo Teknoloji Enerji Ve Endustri Anonim Sirketi,prefix
YAPRAKSUT,YAPRK,Yaprak Süt,Yaprak Süt ve Besi Çiftlikleri Sanayi ve Ticaret A.S.,prefix
YAPIKREDI,YKBNK,Yapı Kredi,Yapi ve Kredi Bankasi A.S.,token_subset
YATAS,YATAS,Yataş,Yatas Yatak ve Yorgan Sanayi ve Ticaret A.S.,prefix
YAYLAAGROGIDASANAYI,YYLGD,Yayla Agro Gıda Sanayi,Yayla Agro Gida Sanayi ve Ticaret A.S.,prefix
YAYLAENERJI,YAYLA,Yayla Enerji,Yayla Enerji Üretim Turizm ve Insaat Ticaret A.S.,prefix
YENIGIMAT,YGGYO,Yeni Gimat,Yeni Gimat Gayrimenkul Yatirim Ortakligi A.S.,prefix
YESILYAPI,YYAPI,Yeşil Yapı,Yesil Yapi Endüstrisi A.S.,prefix
YESILYATIRIM,YESIL,Yeşil Yatırım,Yesil Yatirim Holding Anonim Sirketi,prefix
YIBITASYOZGAT,YBTAS,Yibitaş Yozgat,Yibitas Yozgat Isçi Birligi Insaat Malzemeleri Ticaret ve Sanayi A.S.,prefix
YIGITAKU,YIGIT,Yiğit Akü,Yigit Aku Malzemeleri Nakliyat Turizm Insaat Sanayi ve Ticaret A.S.,prefix
YONGAMOBILYA,YONGA,Yonga Mobilya,Yonga Mobilya Sanayi ve Ticaret A.S.,prefix
YUKSELENCELIK,YKSLN,Yükselen Çelik,Yukselen Celik Anonim Sirketi,prefix
YUNSAYUNLUSANVETICAS,YUNSA,Yünsa Yünlü San. Ve Tic. A.Ş.,Yünsa Yünlü Sanayi ve Ticaret A.S.,fuzzy_0.851
ZEDURENERJI,ZEDUR,Zedur Enerji,Zedur Enerji Elektrik Üretim Anonim Sirketi,prefix
ZIRAATGAYRIMENKULYATIRIMORTAKLIGI,ZRGYO,Ziraat GYO,Ziraat Gayrimenkul Yatirim Ortakligi A.S.,prefix
ZORLUENERJI,ZOREN,Zorlu Enerji,Zorlu Enerji Elektrik Üretim A.S.,prefix
CATESELEKTRIK,CATES,Çates Elektrik,Çates Elektrik Üretim Anonim Sirketi,prefix
CELEBIHAVASERVISIAS,CLEBI,Çelebi Hava Servisi A.Ş.,Çelebi Hava Servisi A.S.,exact_key
CELIKHALATVETELSANAS,CELHA,Çelik Halat Ve Tel San. A.Ş.,Çelik Halat ve Tel Sanayii A.S.,fuzzy_0.909
CEMAS,CEMAS,Çemaş,Çemas Döküm Sanayi A.S.,prefix
CEMTASCELIKMAKINA,CEMTS,Çemtaş Çelik Makina,Çemtas Çelik Makina Sanayi ve Ticaret A.S.,prefix
CIMBETONAS,NUHCM,Çimbeton A.Ş.,Nuh Çimento Sanayi A.S.,fuzzy_0.643
CIMENTASIZMIRTAS,CMENT,Çimentaş İzmir T.A.Ş.,Çimentas Izmir Çimento Fabrikasi Türk A.S.,fuzzy_0.667
CIMSACIMENTO,CIMSA,Çimsa Çimento,Çimsa Çimento Sanayi ve Ticaret A.S.,prefix
CUHADAROGLUMETAL,CUSAN,Çuhadaroğlu Metal,Cuhadaroglu Metal Sanayi ve Pazarlama A.S.,prefix
OZAKGAYRIMENKULYATIRIMORTAKLIGI,OZKGY,Özak GYO,Ozak Gayrimenkul Yatirim Ortakligi A.S.,prefix
OZATADENIZCILIK,OZATD,Özata Denizcilik,Özata Denizcilik Sanayi ve Ticaret Anonim Sirketi,prefix
OZDERICIGAYRIMENKULYATIRIMORTAKLIGI,OZGYO,Özderici GYO,Ozderici Gayrimenkul Yatirim Ortakligi A.S.,prefix
OZSUBALIKURETIM,OZSUB,Özsu Balık Üretim,Özsu Balik Üretim Anonim Sirketi,prefix
OZYASARTEL,OZYSR,Özyaşar Tel,Ozyasar Tel ve Galvanizleme Sanayi Anonim Sirketi,prefix
UNLUYATIRIM,UNLU,Ünlü Yatırım,ÜNLÜ Yatirim Holding A.S.,prefix
IDEALISTGAYRIMENKULYATIRIMORTAKLIGI,IDGYO,İdealist GYO,Idealist Gayrimenkul Yatirim Ortakligi A.S.,prefix
IHLASEVALETLERIIMALAT,IHEVA,İhlas Ev Aletleri İmalat,Ihlas Ev Aletleri Imalat Sanayi ve Ticaret A.S.,prefix
IHLASGAYRIMENKUL,IHLGM,İhlas Gayrımenkul,Ihlas Gayrimenkul Proje Gelistirme ve Ticaret A.S.,prefix
IHLASGAZETECILIKAS,IHGZT,İhlas Gazetecilik A.Ş,Ihlas Gazetecilik A.S.,exact_key
IHLASHABERAJANSI,IHAAS,İhlas Haber Ajansı,Ihlas Haber Ajansi A.S.,prefix
IHLASHOLDING,IHLAS,İhlas Holding,Ihlas Holding A.S.,prefix
IHLASYAYIN,IHYAY,İhlas Yayın,Ihlas Yayin Holding A.S.,prefix
IMASMAKINASANAYI,IMASM,İmaş Makina Sanayi,Imas Makina Sanayi A.S.,prefix
INDEKSBILGISAYARSISTEMLERI,INDES,İndeks Bilgisayar Sistemleri,Indeks Bilgisayar Sistemleri Mühendislik Sanayi ve Ticaret Anonim Sirketi,prefix
INFOYATIRIMAS,INFO,İnfo Yatırım A.Ş.,Info Yatirim Menkul Degerler A.S.,token_subset
INTEMA,INTEM,İntema,Intema Insaat ve Tesisat Malzemeleri Yatirim ve Pazarlama A.S.,prefix
ISKENDERUNDEMIRCELIK,ISDMR,İskenderun Demir Çelik,Iskenderun Demir ve Çelik A.S.,exact_canonical
IZDEMIRENERJI,IZENR,İzdemir Enerji,IZDEMIR Enerji Elektrik Uretim A.S.,prefix
IZMIRDEMIRCELIK,IZMDC,İzmir Demir Çelik,Izmir Demir Çelik Sanayi Anonim Sirketi,prefix
IZMIRFIRCA,IZFAS,İzmir Fırça,Izmir Firça Sanayi ve Ticaret Anonim Sirketi,prefix
ISFINANSALKIRALAMA,ISFIN,İş Finansal Kiralama,Is Finansal Kiralama Anonim Sirketi,prefix
ISGAYRIMENKULYATIRIMORTAKLIGI,ISGYO,İş GYO,Is Gayrimenkul Yatirim Ortakligi A.S.,prefix
ISGIRISIM,ISGSY,İş Girişim,Is Girisim Sermayesi Yatirim Ortakligi AS,prefix
ISYATIRIMMENKULDEGERLER,ISMEN,İş Yatırım Menkul Değerler,Is Yatirim Menkul Degerler Anonim Sirketi,prefix
ISBIRHOLDING,ISBIR,İşbir Holding,Isbir Holding A.S.,prefix
ISBIRSENTETIKDOKUMASANAYI,ISSEN,İşbir Sentetik Dokuma Sanayi,Isbir Sentetik Dokuma Sanayi A.S.,prefix
SEKERGAYRIMENKULYATIRIMORTAKLIGI,SEGYO,Şeker GYO,Seker Gayrimenkul Yatirim Ortakligi A.S.,prefix
SEKERYATIRIM,SKYMD,Şeker Yatırım,Seker Yatirim Menkul Degerler A.S.,prefix
SEKERBANKTAS,SKBNK,Şekerbank T.A.Ş.,Sekerbank T.A.S.,exact_key
SOKMARKETLER,SOKM,Şok Marketler,Sok Marketler Ticaret A.S.,prefix
