company_key,ticker,company_name,matched_name,match_type
BILICIYATSANVETICAS,BLCYT,Bilici Yat. San. Ve Tic. A.Ş.,Bilici Yatirim Sanayi ve Ticaret A.S.,fuzzy_0.776
BINULASIMVEAKILLISEHIRTEKNOLOJILERIAS,BINBN,Bin Ulasim ve Akilli Sehir Teknolojileri AS,Bin Ulasim ve Akilli Sehir Teknolojileri A.S.,exact_key
BIRIKIMVARLIKYONETIM,BRKVY,Birikim Varlık Yönetim,Birikim Varlik Yonetim Anonim Sirketi,prefix
BIRKOBIRLESIK,BRKO,Birko Birleşik,Birko Birlesik Koyunlulular Mensucat Ticaret ve Sanayi A.S.,prefix
BIRLESIMGRUPENERJIAS,BIGEN,Birleşim Grup Enerji A.Ş,Birlesim Grup Enerji Yatirimlari A.S.,token_subset
BIRLESIMMUHENDISLIKISITMASOGUTMA,BRLSM,Birleşim Mühendislik Isıtma Soğutma,Birlesim Mühendislik Isitma Sogutma Havalandirma Sanayi ve Ticaret Anonim Sirketi,prefix
BIRLIKMENSUCATAS,BRMEN,Birlik Mensucat A.Ş.,Birlik Mensucat Ticaret ve Sanayi Isletmesi A.S.,token_subset
BIZIM,BIZIM,Bizim,Bizim Toptan Satis Magazalari A.S.,prefix
BORSEKER,BORSK,Bor Şeker,Bor Seker A.S.,prefix
BORLEASEOTOMOTIV,BORLS,Borlease Otomotiv,Borlease Otomotiv A.S.,prefix
BORUSANBIRLESIK,BRSAN,Borusan Birlesik,Borusan Birlesik Boru Fabrikalari Sanayi ve Ticaret A.S.,prefix
BORUSANYATIRIM,BRYAT,Borusan Yatırım,Borusan Yatirim ve Pazarlama A.S.,prefix
BOSCHFREN,BFREN,Bosch Fren,Bosch Fren Sistemleri Sanayi ve Ticaret A.S.,prefix
BOSSATICVESANTAS,BOSSA,Bossa Tic. Ve San. T.A.Ş.,Bossa Ticaret ve Sanayi Isletmeleri T.A.S.,fuzzy_0.640
BOGAZICIBETON,BOBET,Boğaziçi Beton,Bogazici Beton Sanayi Ve Ticaret Anonim Sirketi,prefix
BRIDGESTONESABANCILASTIKSANAYI,BRISA,Bridgestone Sabancı Lastik Sanayi,Brisa Bridgestone Sabanci Lastik Sanayi ve Ticaret A.S.,token_subset
BURSACIMENTO,BUCIM,Bursa Çimento,Bursa Cimento Fabrikasi A.S.,prefix
